Date,Interest rate
2000-April,10.3663
2000-May,10.8186
2000-June,11.1004
2000-July,11.3
2000-August,11.3715
2000-September,11.8051
2000-October,11.6078
2000-November,11.4009
2000- December,10.9359
2001- January,10.4842
2001- February,10.0447
2001- March,10.2737
2001-April,10.0779
2001-May,9.7149
2001-June,9.4551
2001-July,9.2609
2001-August,9.1394
2001-September,9.1468
2001-October,8.7893
2001-November,7.9239
2001- December,8.2666
2002- January,7.6474
2002- February,7.4725
2002- March,7.3437
2002-April,7.3952
2002-May,7.6529
2002-June,7.5701
2002-July,7.3733
2002-August,7.156
2002-September,7.1976
2002-October,6.9791
2002-November,6.4573
2002- December,6.0818
2003- January,6.339
2003- February,6.2321
2003- March,6.1936
2003-April,5.9053
2003-May,5.8479
2003-June,5.7329
2003-July,5.6206
2003-August,5.262
2003-September,5.2589
2003-October,5.1052
2003-November,5.1433
2003- December,5.1368
2004- January,5.1911
2004- February,5.2703
2004- March,5.1542
2004-April,5.1461
2004-May,5.3016
2004-June,5.8677
2004-July,6.1935
2004-August,6.1545
2004-September,6.2446
2004-October,6.8652
2004-November,7.2053
2004- December,6.591
2005- January,6.7091
2005- February,6.4867
2005- March,6.6853
2005-April,7.1866
2005-May,7.0602
2005-June,6.8835
2005-July,6.9451
2005-August,7.1918
2005-September,7.2081
2005-October,7.0784
2005-November,7.1108
2005- December,7.1191
2006- January,7.309
2006- February,7.3441
2006- March,7.5291
2006-April,7.3941
2006-May,7.6809
2006-June,8.1318
2006-July,8.2809
2006-August,7.9304
2006-September,7.6776
2006-October,7.6417
2006-November,7.4061
2006- December,7.6071
2007- January,7.7739
2007- February,7.9454
2007- March,7.936
2007-April,8.1316
2007-May,8.1225
2007-June,8.1559
2007-July,7.9108
2007-August,7.9194
2007-September,7.9155
2007-October,7.8699
2007-November,7.9218
2007- December,7.8057
2008- January,7.5737
2008- February,7.6268
2008- March,7.6367
2008-April,8.0181
2008-May,8.1069
2008-June,8.6518
2008-July,9.35
2008-August,8.7121
2008-September,8.7184
2008-October,7.4808
2008-November,7.1197
2008- December,5.3028
2009- January,6.0041
2009- February,6.5711
2009- March,7.0414
2009-April,6.2923
2009-May,6.7528
2009-June,6.9536
2009-July,6.9926
2009-August,7.4969
2009-September,7.3377
2009-October,7.5877
2009-November,7.458
2009- December,7.7366
2010- January,7.5814
2010- February,7.857
2010- March,7.825
2010-April,7.7766
2010-May,7.5206
2010-June,7.5758
2010-July,7.8286
2010-August,7.9863
2010-September,7.8963
2010-October,8.1179
2010-November,8.0498
2010- December,7.9534
2011- January,8.1505
2011- February,8.0983
2011- March,8.0223
2011-April,8.1267
2011-May,8.4123
2011-June,8.3518
2011-July,8.4792
2011-August,8.3543
2011-September,8.3975
2011-October,8.8849
2011-November,8.7594
2011- December,8.5459
2012- January,8.2878
2012- February,8.2
2012- March,8.5607
2012-April,8.6523
2012-May,8.4599
2012-June,8.2269
2012-July,8.2631
2012-August,8.3135
2012-September,8.1388
2012-October,8.201
2012-November,8.1981
2012- December,8.2003
2013- January,7.9417
2013- February,7.9241
2013- March,8.0102
2013-April,7.7879
2013-May,7.4803
2013-June,7.4604
2013-July,8.2727
2013-August,8.783
2013-September,8.7629
2013-October,8.7086
2013-November,8.7178
2013- December,8.7689
2014- January,8.8698
2014- February,8.9384
2014- March,8.8776
2014-April,8.8902
2014-May,8.6867
2014-June,8.7536
2014-July,8.4928
2014-August,8.6252
2014-September,8.527
2014-October,8.2997
2014-November,8.1234
2014- December,7.9171
2015- January,7.6873
2015- February,7.7655
2015- March,7.7991
2015-April,7.8904
2015-May,7.6433
2015-June,7.8697
2015-July,7.805
2015-August,8.0541
2015-September,7.53
2015-October,7.9202
2015-November,8.0698
2015- December,8.094
2016- January,7.5187
2016- February,7.6385
2016- March,7.4025
2016-April,7.8721
2016-May,7.465
2016-June,7.7834
2016-July,7.4091
2016-August,7.114
2016-September,6.8096
2016-October,6.8216
2016-November,6.3049
2016- December,7.1725
2017- January,7.1485
2017- February,7.0912
2017- March,7.0563
2017-April,7.2155
2017-May,6.5111
2017-June,6.5899
2017-July,6.5521
2017-August,6.5426
2017-September,6.8192
2017-October,7.0257
2017-November,7.2457
2017- December,7.5236
2018- January,7.3682
2018- February,7.7024
2018- March,7.4205
2018-April,7.8013
2018-May,7.9322
2018-June,7.9955
2018-July,7.7412
2018-August,8.0122
2018-September,8.0126
2018-October,7.8403
2018-November,7.6881
2018- December,7.4371
2019- January,7.286
2019- February,7.4549
2019- March,7.3701
2019-April,7.4637
2019-May,7.1255
2019-June,6.9339
2019-July,6.5758
2019-August,6.7059
2019-September,6.8308
2019-October,6.8661
2019-November,6.5906
2019- December,6.9177
2020- January,6.8418
2020- February,6.6498
2020- March,6.7345
2020-April,6.5494
2020-May,5.7724
2020-June,5.981
2020-July,5.6933
2020-August,6.1034
2020-September,6.1024
2020-October,5.8822
2020-November,5.8348
2020- December,5.9834
2021- January,6.071
2021- February,6.3372
2021- March,6.3841
2021-April,6.3567
2021-May,6.2584
2021-June,6.3928
2021-July,6.2295
2021-August,6.3714
2021-September,6.2822
2021-October,6.4719
2021-November,6.3824
2021- December,6.5234
2022- January,6.7278
2022- February,6.8157
2022- March,6.8363
2022-April,7.1769
2022-May,7.4761
2022-June,7.3776
2022-July,7.4239
2022-August,7.2079
2022-September,7.4558
2022-October,7.4402
2022-November,7.3104
2022- December,7.331
2023- January,7.3781
2023- February,7.4412
2023- March,7.3433
